scheme,patient_count,run_id,predicate_target_count,predicates_count,prove_ms,verify_ms,proof_size_bytes,cpu_max_pct,rss_max_kb
FHIR,100,1,5,5,0,0,0,1.9,113440
GROTH16,100,2,5,5,202,5,720,1.9,113232
STARK,100,3,5,5,6092,10,245898,2.1,115728
HYBRID,100,4,5,5,42436,2,2145,1.0,117376
FHIR,100,5,5,5,0,0,0,0.2,118480
GROTH16,100,6,5,5,201,4,722,1.4,117216
STARK,100,7,5,5,6101,10,245898,2.1,119072
HYBRID,100,8,5,5,42401,2,2145,0.9,112736
FHIR,100,9,5,5,0,0,0,,112224
GROTH16,100,10,5,5,203,5,721,1.0,111552
STARK,100,11,5,5,6091,10,245898,1.5,115184
HYBRID,100,12,5,5,42563,2,2145,0.9,114176
FHIR,100,13,5,5,0,0,0,,113088
GROTH16,100,14,5,5,202,5,724,0.9,113008
STARK,100,15,5,5,6160,10,245898,1.9,122400
HYBRID,100,16,5,5,42321,2,2145,0.8,105696
FHIR,100,17,5,5,0,0,0,0.1,97392
GROTH16,100,18,5,5,205,5,723,1.3,96384
STARK,100,19,5,5,6091,10,245898,2.5,98448
HYBRID,100,20,5,5,41916,2,2145,0.8,99584
FHIR,100,21,5,5,0,0,0,0.4,102032
GROTH16,100,22,5,5,203,5,724,2.3,102816
STARK,100,23,5,5,6115,10,245898,4.0,131776
HYBRID,100,24,5,5,42572,2,2145,0.9,132784
FHIR,100,25,5,5,0,0,0,0.2,128832
GROTH16,100,26,5,5,202,4,722,1.1,128192
STARK,100,27,5,5,6068,10,245898,2.5,129584
HYBRID,100,28,5,5,42056,2,2145,1.3,131184
FHIR,100,29,5,5,0,0,0,,128880
GROTH16,100,30,5,5,203,5,725,1.2,128352
STARK,100,31,5,5,6085,10,245898,2.3,136240
HYBRID,100,32,5,5,42312,2,2145,1.5,136752
FHIR,100,33,5,5,0,0,0,,125792
GROTH16,100,34,5,5,201,5,723,1.2,125856
STARK,100,35,5,5,6197,10,245898,1.7,132816
HYBRID,100,36,5,5,42171,2,2145,1.3,135664
FHIR,100,37,5,5,0,0,0,0.2,136752
GROTH16,100,38,5,5,202,5,722,1.3,136432
STARK,100,39,5,5,6099,10,245898,2.1,137232
HYBRID,100,40,5,5,42350,2,2145,0.9,139392
FHIR,100,41,25,25,0,0,0,,134544
GROTH16,100,42,25,25,203,4,724,4.0,133872
STARK,100,43,25,25,6065,10,245898,2.1,134992
HYBRID,100,44,25,25,42091,2,2145,2.0,135920
FHIR,100,45,25,25,0,0,0,,132704
GROTH16,100,46,25,25,203,5,721,3.1,132768
